save%2:40:02::	save%2:41:02::
faculty%1:09:00::	faculty%1:14:00::
energy%1:19:00::	energy%1:07:02::
book%2:41:00::	book%1:10:00::;book%1:06:00::
count%2:32:00::	count%2:31:02::
rest%1:24:00::	rest%1:28:00::
crunch%1:11:00::	crunch%1:26:00::
spout%1:06:00::	spout%2:32:00::
makeover%1:04:00::	makeover%1:04:01::
rejoin%2:41:00::	rejoin%2:32:00::
stand%2:35:00::	stand%2:42:04::
record%1:10:03::	record%1:06:00::
pat%5:00:00:appropriate:00	pat%1:04:00::
match%1:06:00::	match%1:11:00::
chill_out%2:37:00::	chill%2:30:00::
root%1:20:00::	root%1:15:00::
branch%1:20:00::	branch%1:14:00::
blow_up%2:30:05::	blow_up%2:37:00::
down%3:00:00::;down%5:00:00:low:02	down%5:00:00:dejected:00
unhinge%2:37:00::	unhinge%2:30:00::
racket%1:11:00::	racket%1:06:00::
croak%2:30:00::	croak%2:32:00::
pick_up%2:40:01::	pick_up%2:30:00::
orange_zest%1:13:00::	zest%1:12:00::
boring%5:00:00:uninteresting:00	boring%1:04:01::;bore%2:35:00::
rut%1:25:00::	rut%1:04:00::
get%2:40:00::	get%2:39:14::
type%1:18:00::	type%1:10:01::
cue%1:10:00::	cue%1:06:00::
potty%1:06:00::	potty%5:00:00:loving:00
grind%1:04:00::;grind%1:07:00::	grind%1:04:01::
alarm%2:37:00::	alarm%2:32:00::
differentiate%2:30:00::	differentiate%2:31:00::
see%2:39:00::	see_through%2:30:00::
possessive%3:01:00::	possessive%5:00:00:dominant:01
pitch%1:04:03::	pitch%1:10:00::
bristle%2:31:00::	bristle%1:06:00::
dough%1:13:00::	dough%1:21:00::
ripe%3:00:00::	ripe%5:00:00:late:00
drain%1:06:00::	drain%1:04:01::
integral%1:09:00::	integral%5:00:00:intrinsic:00
pitch%1:07:00::	pitch%1:04:03::
general%1:18:00::	general%3:00:00::
stable%1:06:00::	stable%3:00:00::
front%1:19:00::	front%1:15:00::
shot%1:04:03::	shot%1:23:00::
average%1:09:00::	average_out%2:42:00::
show_up%2:30:00::	show_up%2:39:00::
register%1:06:02::	register%2:39:00::
contact%1:04:02::	contact%1:06:00::
material%1:10:00::	material%1:06:00::
call%2:32:02::;call%2:32:00::	call%2:32:01::;call%2:32:05::
pawn%1:21:00::	pawn%1:06:00::
bombshell%1:18:00::	bombshell%1:06:00::
pipe_down%2:39:00::	pipe%1:06:00::
on_the_fly%4:02:00::	fly%1:05:00::
mean%5:00:00:normal:01	mean%5:00:00:nasty:00
vent%2:32:00::	vent%1:06:00::
cut%1:21:00::	cut%1:04:02::;cut%1:04:00::;cut%1:04:01::
steal%2:40:00::	steal%2:33:00::
flop%2:38:01::	flop%2:41:00::
stage%1:28:00::	stage%1:06:00::
vein%1:08:00::	vein%1:17:00::
tender%5:00:00:young:00	tender%3:00:01::
mail%1:10:01::	mail%1:06:00::
blast%1:11:00::	blast%1:11:02::
sweep%2:35:00::	sweep_off%2:37:00::
click%2:32:01::	click%2:31:13::
focus%1:09:00::	focus%1:07:01::
net%1:06:00::	net%1:21:00::
cavity%1:22:00::	cavity%1:17:00::
problem%1:10:00::	problem%1:26:00::
bone%1:08:00::	bone_up%2:31:00::
chicken%1:18:00::	chicken%1:05:01::
drive%1:04:00::	drive%1:04:03::
identity%1:07:00::	identity%1:24:01::
ball%1:06:01::	ball%1:08:01::
makeover%1:04:00::	makeover%1:04:01::
point%1:10:01::	point%1:06:00::
shorts%1:06:00::	short%1:06:01::
march%1:10:01::	march%1:28:00::
recount%2:32:00::	recount%2:32:02::
hitch%1:09:00::	hitch%1:06:00::
get_over%2:38:00::	get_over%2:36:00::;get_over%2:30:00::;get_over%2:33:00::
pop%1:10:00::	pop%2:30:03::
rake%1:18:00::	rake%1:06:00::
combination%1:14:00::	combination%1:14:02::
arm%1:08:00::	arm%1:06:01::;arms%1:06:00::
lot%1:23:00::	lot%1:15:00::
fly%2:38:05::;fly%2:38:00::	fly%2:38:06::
domain%1:26:00::	domain%1:14:01::
stand%2:35:00::	stand%2:31:00::
dough%1:13:00::	dough%1:21:00::
root%1:15:00::	root%1:23:00::
right%1:15:00::	all_right%5:00:00:satisfactory:00
high%3:00:01::	high%5:00:00:superior:01
still%4:02:02::	still%1:06:00::
cut%2:35:00::	cut%2:41:10::
nail%2:35:00::	nail%2:41:00::
alarmed%5:00:00:afraid:00	alarm%1:06:00::
get_around%2:41:00::	get_around%2:38:00::
kid%2:32:00::	kid%1:18:00::
boil_down%2:30:03::	boil%2:30:00::
ma%1:15:00::	mass%1:04:00::
tension%1:26:01::	tension%1:26:03::
suit%2:42:02::;suit%2:42:05::	suit%1:06:00::
crowning%5:00:00:ultimate:00	crown%2:41:00::
mass%1:07:00::	mass%1:04:00::
buzz_off%2:38:00::	buzz%2:38:00::
committed%3:00:00::	commit%2:40:02::
sweep%2:35:00::;sweep%2:35:01::	sweep%2:33:00::
uproot%2:41:00::	uproot%2:35:00::
slip%1:06:00::	slip%1:04:03::
multiply%2:31:00::	multiply%2:29:01::
scratch%1:18:00::	scratch%2:39:00::
retainer%1:21:00::	retainer%1:06:00::
gravity%1:19:00::	gravity%1:07:00::
flake%1:19:00::	flake%1:18:00::
ghost%1:18:01::	ghost%1:18:00::
falling_out%1:11:00::	fall%2:38:03::
sap%1:18:00::	sap%1:27:00::
buck%1:21:00::	buck%2:38:00::
faculty%1:09:00::	faculty%1:14:00::
see_through%2:39:00::	see%2:39:00::
punch_out%2:32:00::	punch%2:35:01::
dribble%2:29:00::	dribble%2:35:00::
log%2:32:00::	log%2:35:00::
putter%1:06:00::	putter%2:35:00::
tip%1:15:00::	tip%1:21:00::
bat%1:05:00::	bat%1:06:00::
reservation%1:04:01::	reservation%1:10:00::
overboard%4:02:01::	overboard%4:02:00::
stock%5:00:00:standard:02	stock%1:21:00::
sentence%1:10:00::	sentence%1:04:00::
hops%1:20:00::	hop%1:04:00::
fan%1:06:00::	fan%1:18:00::
seasoned%5:00:00:experienced:00	season%2:39:00::
impression%1:09:00::	impression%1:10:00::
spark%1:19:00::	spark%1:07:00::
mold%2:31:00::	mold%1:20:00::;mold%1:22:00::;mold%2:30:00::
tune%2:30:01::	tune%2:30:00::
hedge%2:35:00::	hedge%2:30:00::
chick%1:05:00::	chick%1:18:00::
take%2:35:00::	take%2:34:00::
peach%1:13:00::	peach%1:18:00::
expression%1:10:04::	expression%1:10:03::
maroon%2:30:00::	maroon%1:07:00::
prone%5:00:00:inclined:02	prone%5:00:00:unerect:00
dressing%1:13:01::	dressing%1:04:00::
blow_up%2:30:03::	blow_up%2:30:04::
plaque%1:08:00::	plaque%1:06:00::
from_scratch%4:02:00::	scratch%2:39:00::
shallow%3:00:01::	shallow%5:00:00:superficial:00
fluke%1:19:00::	fluke%1:05:01::
account%1:26:00::	account%1:07:01::
square%1:25:00::	square_meal%1:13:00::;square%5:00:00:wholesome:00
peep%2:39:00::	peep%2:32:01::
tie%1:26:01::	tie%1:06:00::
gas%1:27:02::	gas%1:26:01::
take%2:35:00::;take%2:40:00::	take%2:34:00::
keep%2:35:10::;keep%2:42:00::;keep%2:41:02::	keep%2:40:13::
arrangement%1:09:01::	arrangement%1:14:00::
alive%3:00:01::	alive%3:00:04::
stuff%1:10:01::;stuff%1:07:00::;stuff%1:09:00::	stuff%2:30:02::;stuff%2:35:00::;stuff%1:27:00::
jam%1:13:00::	jam%1:26:00::
accident%1:11:01::	accident%1:11:00::
window%1:06:00::	window%1:28:00::
plane%1:06:01::	plane%1:26:00::
submerge%2:38:00::	submerge%2:35:00::
stock%1:06:00::	stock%1:13:01::
stripe%1:07:00::	stripe%1:09:00::
suck%2:38:00::	suck%2:42:00::
stirring%5:00:00:moving:01	stir%2:38:01::
state%2:32:00::	state%1:15:01::
spark%1:17:00::	spark%1:07:00::
dead%3:00:01::	dead%5:00:00:noncurrent:00
false%3:00:00::	false_teeth%1:06:00::
heel%1:08:00::;heel%1:06:00::	heel%1:18:00::
pony_up%2:40:00::	pony%1:05:01::
prune%1:13:00::	prune%2:35:00::
terminal%1:06:00::	terminal%5:00:00:fatal:00
grill%2:30:00::	grill%2:32:00::
taper_off%2:30:00::	taper%1:06:01::
rough%5:00:00:inexact:00	rough%1:15:00::
tip%1:21:00::	tip%1:15:00::
score%1:12:00::	score%1:04:00::
funny%5:00:00:humorous:00	funny%5:00:00:strange:00
step%1:04:02::	step%1:06:00::
drive%1:04:03::	drive%1:26:00::
beef%1:10:00::	beef%1:13:00::
for_a_song%4:02:00::	song%1:10:00::
arranged%5:00:01:organized:02	arranged%5:00:00:artificial:00;arranged%3:00:00::
cut%1:04:05::	cut%1:04:00::
date%1:14:00::	date%1:13:00::
long%3:00:02::	long%3:00:01::
bang%1:12:00::	bang%1:11:00::
blow%2:38:09::;blow%2:29:01::	blow%2:41:00::
loaded%5:00:00:intoxicated:00	loaded%5:00:00:full:00
take%2:40:05::	take%2:34:00::
let_down%2:37:00::	let_down%2:38:00::
august%1:28:00::	august%5:00:00:honorable:00
draw%1:11:00::	draw%2:35:01::
fly%1:05:00::	fly%1:06:00::
add_up%2:32:00::	add_up%2:42:03::
stink%2:42:00::	stink%2:39:00::
mint%1:20:00::	mint%5:00:00:perfect:00
element%1:27:00::	element%1:09:00::
pass%2:42:00::	pass%2:29:00::
exhaust%2:29:00::	exhaust%1:27:00::
align%2:30:00::	align%2:31:00::
change%1:24:00::	change%1:21:01::
contain%2:42:14::	contain%2:41:00::
quarter%1:21:00::	quarter%1:04:00::
downhill%4:02:01::	downhill%4:02:00::
dirt%1:10:00::	dirt%1:27:01::
miss%2:39:00::	miss%2:35:00::
deliverer%1:18:00::	deliverer%1:18:02::
knit%2:36:00::	knit%2:35:00::
book%1:10:00::	book%1:14:00::
pan_out%2:41:00::	pan_out%2:35:00::
pointless%3:00:00::	pointless%5:00:00:worthless:00
slip_up%2:31:00::	slip%2:38:00::
landslide%1:11:01::	landslide%1:11:00::
deal%2:41:09::	deal%2:40:02::
clerical%3:01:01::	clerical%3:01:00::
suspend%2:35:00::	suspend%2:42:00::
ground%1:27:00::	grind%2:30:00::
faculty%1:09:00::	faculty%1:14:00::
potential%1:19:00::	potential%1:26:00::
snap%2:32:00::	snap%2:32:01::
calf%1:05:00::	calf%1:08:00::
flag%2:32:00::;flag%2:30:00::;flag%1:06:00::	flag%2:30:01::
ruin%1:06:00::	ruin%1:11:01::
cabinet%1:06:00::	cabinet%1:14:00::
crow%2:32:01::	crow%1:05:00::
pine%1:20:00::	pine_away%2:30:00::
iron_out%2:30:00::	iron%1:27:00::
rivet%2:35:00::	riveting%5:00:00:interesting:00
span%1:28:00::	span%1:06:00::
buffer%1:15:00::	buffer%1:06:04::
dummy%1:18:00::	dummy%1:06:00::
pay%2:40:00::	pay%2:31:00::
change%1:11:00::	change%1:21:02::
steep%5:00:00:immoderate:00	steep%2:30:00::
fortify%2:30:01::	fortify%2:30:00::
expire%2:42:00::	expire%2:30:00::
connection%1:18:01::	connection%1:06:00::
relative%1:18:00::	relative%3:00:00::
dream%1:12:00::	dream%1:09:01::
bore%2:35:00::	bore%2:37:00::
story%1:06:00::	story%1:10:00::
palm%1:08:00::	palm%1:20:00::
hash%1:13:00::	hash_over%2:32:00::
hold%2:35:00::	hold%2:41:15::
score%1:10:00::	scores%1:23:00::
impression%1:07:00::	impression%1:25:00::
trigger%1:06:00::	trigger%2:36:00::
staple%5:00:00:essential:00	staple%1:06:02::
proof%1:09:00::	proof%1:23:00::
count_on%2:31:01::	count%2:32:00::
lousy%5:00:00:bad:00	lousy%5:00:00:dirty:01
joke%1:10:00::	joke%1:07:00::
nut%1:20:00::	nut%1:08:00::
plant%2:35:00::;plant%1:03:00::	plant%2:35:06::;plant%1:18:00::
come%2:38:00::	come%2:31:14::
trace%1:10:02::;trace%1:10:00::	trace%1:06:00::
charge%2:40:01::	charge%2:30:00::
grip%1:04:00::	grip%1:07:00::
file_away%2:32:00::	file%2:35:00::
class%1:14:03::	class%1:07:00::
flash%1:11:00::	in_a_flash%4:02:00::
blend%2:35:00::	blend%2:42:00::
comb%2:35:01::	comb%2:35:00::
bounce_back%2:30:00::	bounce%2:38:00::
squealer%1:18:00::	squealer%1:05:00::
cycle%1:06:00::	cycle%1:28:00::
serve%2:34:00::	serve%2:33:01::
late%5:00:00:unpunctual:00	late%5:00:00:dead:01
club%1:14:00::	club%1:06:00::
sign%1:10:05::	sign%1:06:01::
downhill%4:02:01::	downhill%4:02:00::
stir%2:38:01::	stir%2:38:00::
mammoth%1:05:00::	mammoth%5:00:01:large:00
problem%1:10:00::	problem%1:09:00::
fashion%1:07:00::	fashion%1:09:00::
spruce_up%2:29:00::	spruce%1:20:00::
slice%1:13:00::	slice%1:04:00::
precipitous%5:00:00:hurried:00	precipitous%5:00:00:steep:00
fall%1:28:00::	fall%1:04:01::
bottle_up%2:41:00::	bottle%2:35:00::;bottle%2:40:00::
square%3:00:00::	square%3:00:04::
interest%1:09:00::	interest%1:21:00::
power%1:07:00::	power%1:19:01::
shrink%1:18:00::	shrink%2:30:00::
support%1:04:00::	support%1:04:01::
disappear%2:30:00::	disappear%2:39:00::
connection%1:25:00::;connection%1:04:00::	connection%1:24:00::;connection%1:26:00::
charge%2:32:02::	charged%3:00:00::;charge%2:30:00::
flash%2:39:02::	flash%1:28:00::
base%1:06:04::	base%1:06:02::
under_the_weather%5:00:00:ill:01	weather%1:19:00::
buffalo%2:37:00::	buffalo%1:05:02::
lie%1:10:00::	lie%1:15:00::
design%1:06:00::	design%1:09:03::
drill%1:06:00::	drill%1:04:00::
steal_away%2:38:00::	steal%2:40:00::
pop%1:18:00::	pop%2:30:04::
flop%1:11:00::	flop%2:38:00::;flop%2:38:01::
oppose%2:42:00::	opposed%3:00:00::
incline%2:42:01::	incline%2:38:00::
downhill%1:11:00::;downhill%1:17:00::;downhill%4:02:00::;downhill%5:00:00:descending:00	downhill%4:02:01::
caliber%1:07:00::	caliber%1:07:01::
stable%1:06:00::	stable%3:00:00::
cold%3:00:01::	cold%5:00:00:dead:01
kick%2:35:00::	kick%2:34:00::
bench%1:14:01::	bench%1:06:00::
grouper%1:13:00::	group%2:33:00::
thinner%1:27:00::	thin%3:00:03::
melt%2:30:01::	melt%2:30:10::
steal_away%2:38:00::	steal%2:40:00::
clean%3:00:01::	clean%5:00:00:unaddicted:00
steep%5:00:00:high:01	steep%5:00:00:immoderate:00
drive%2:38:01::	drive%2:35:03::
up%5:00:00:awake:00	up%5:00:00:prepared:00
drill%1:06:00::	drill%1:04:01::
rash%1:26:00::	rash%5:00:00:bold:00
swell%1:11:00::	swell%5:00:00:good:01
backup%1:22:00::	backup%1:06:00::
storm%1:04:00::	storm%1:19:00::
dough%1:13:00::	dough%1:21:00::
scale%1:24:00::	scale%1:05:00::
degree%1:10:00::	degree%1:07:00::
relief%1:12:00::	relief%1:06:00::
frank%1:13:00::	frank%5:00:00:direct:02
expression%1:10:04::	expression%1:10:03::
waste%1:27:00::	waste%2:29:00::
carry_off%2:41:00::	carry_off%2:35:00::
vision%1:09:01::	vision%1:09:04::
present%1:28:00::	present%1:21:00::
high%1:15:00::;high%1:07:00::	high%1:26:01::;high%1:26:02::
still%4:02:04::	still%1:06:00::;still%1:06:02::
faculty%1:09:00::	faculty%1:14:00::
afraid%3:00:00::	afraid%5:00:02:concerned:00
foil%2:41:00::	foil%1:06:01::;foil%2:35:00::
suggestion%1:09:00::;suggestion%1:10:00::	suggestion%1:04:02::
flexible%3:00:02::	flexible%3:00:01::
check%2:33:00::	check%2:41:14::
strain%2:33:00::	strain%2:35:01::
resonate%2:39:00::	resonate%2:31:00::
hook%1:25:00::	hook%1:04:00::
sweet%3:00:02::	sweet%5:00:01:pleasing:00
noted%5:00:00:known:00	note%1:10:04::
discard%2:40:00::;discarded%5:00:00:unwanted:00	discard%1:04:01::
snap%2:32:00::	snap%2:32:01::
striking%5:00:00:impressive:00	strike%2:35:01::
tops%5:00:00:superior:02	top%1:06:00::
fall_for%2:37:00::	fall%2:38:03::
point%1:09:02::	point%1:06:00::
steal%2:40:00::	steal_away%2:38:00::
log%1:27:01::	log%1:10:02::
fertilize%2:30:00::	fertilize%2:29:00::
degree%1:07:00::	degree%1:23:03::
skip%2:42:00::	skip%2:38:00::
state%1:15:01::	state%1:03:00::
pressure%1:26:01::	pressure%1:19:00::
nag%1:05:00::	nag%2:32:00::
goal%1:09:00::	goal%1:04:00::
jerky%1:13:00::	jerky%5:00:00:sudden:00
overboard%4:02:01::	overboard%4:02:00::
bug%1:05:02::	bug%1:26:00::
deep%5:00:00:intense:00	deep%3:00:01::
snap%1:06:00::	snap%1:04:02::
hot%3:00:01::	hot%3:00:02::
rash%1:26:00::	rash%5:00:00:bold:00
pressure%1:19:00::	pressure%1:07:00::
rose%1:07:00::	rise%2:38:00::
toll%1:21:00::	toll%1:07:01::
cured%5:00:00:well:01	cured%5:00:02:preserved:02
pupil%1:18:00::	pupil%1:08:00::
cutting%5:00:00:unkind:00	cutting%1:04:01::
relative%1:18:00::	relative%5:00:00:proportionate:00
frosty%5:00:00:cold:02	frosty%5:00:02:cold:01
bug%2:37:00::	bug%1:26:00::
keep%2:41:05::	keep%2:40:00::
dawn%2:31:13::	dawn%1:28:00::
tip%1:21:00::	tip%1:10:00::
work_out%2:31:04::	work_out%2:29:00::
hip%1:08:00::	hip%5:00:00:informed:00
stage%1:28:00::	stage%1:06:00::
pound%1:23:09::	pound%1:06:00::
moped%1:06:00::	mope%2:37:00::
hardened%5:00:02:hard:01	hardened%5:00:05:hard:02
wave%2:32:00::	wave%1:11:00::
from_scratch%4:02:00::	scratch%1:25:00::
boot%1:06:00::	to_boot%4:02:00::
shoot_for%2:31:00::	shoot%2:33:00::;shoot%2:33:01::
outlet%1:06:01::	outlet%1:06:02::
deadwood%1:20:00::	deadwood%1:07:00::
thread%1:06:00::	thread%1:09:00::
prior%5:00:00:antecedent:00	prior%1:18:00::
perspective%1:09:00::	perspective%1:07:00::
rattle_off%2:32:00::	rattle%1:05:00::
underhanded%3:00:00::	underhanded%5:00:00:crooked:02
lie%2:35:00::	lie%2:32:00::
draw%2:36:00::	draw%2:35:06::
chicken_out%2:41:00::	chicken%1:13:00::
take_off%2:38:00::	take_off%2:38:02::
viewpoint%1:09:00::	viewpoint%1:15:00::
bowl_over%2:38:00::	bowl%2:35:04::
crane%1:06:00::	crane%1:05:00::
overall%1:06:00::	overall%5:00:00:general:00
calf%1:05:00::	calf%1:08:00::
smart%2:39:00::	smart%3:00:00::
pin%1:06:04::	pin%1:06:00::
average%5:00:02:normal:01;average%5:00:03:normal:01;average%5:00:01:normal:01	average%5:00:00:ordinary:00;average%5:00:00:common:01
trip%1:04:00::	trip%1:26:00::
weight%1:06:01::	weight%1:12:00::
staff%1:14:01::	staff%1:06:00::
joint%1:08:00::	joint%1:06:02::
cool%1:07:01::	cool%1:07:02::
connection%1:18:01::	connection%1:04:01::
log%1:27:01::	log%1:10:00::
clam_up%2:32:00::	clam%1:05:00::
change%2:30:03::	change%2:30:00::
wrench%1:06:00::	wrenching%5:00:00:painful:00
blow_over%2:30:00::	blow%2:43:00::
cut%2:30:14::	cut%2:41:10::
go_out%2:30:00::	go_out%2:38:02::
light%5:00:00:undemanding:01	light%1:06:00::
dry%3:00:01::	dry%5:00:00:humorous:00
power%1:18:00::	power%1:19:01::
save%2:41:00::	save%2:41:02::
charge_up%2:37:00::	charge%2:30:03::
appendix%1:10:00::	appendix%1:08:00::
fret%2:37:03::	fret%1:06:00::
marked%5:00:00:conspicuous:00	mark%2:30:00::
draw%2:36:00::	draw%2:34:01::
prune%1:13:00::	prune%2:30:00::
down%1:05:00::	down%5:00:00:dejected:00
to_date%4:02:00::	date%2:41:00::
find%2:39:02::	find%2:31:10::
peanut%1:13:00::	peanuts%1:21:00::
figure%1:08:00::	figure%1:21:00::
turn%2:42:13::	turn%2:38:00::
tight%3:00:01::	tight%5:00:00:equal:00
bar%1:06:04::	bar%1:06:00::
cuckoo%1:05:00::	cuckoo%1:18:00::
crown%1:08:00::;crown%1:06:04::	crown%1:06:01::
clean%3:00:01::	clean%5:00:00:complete:00
leak%2:32:00::	leak%2:30:04::
calling%1:04:00::	call%1:10:01::
nut%1:20:00::	nut%1:18:02::
right%3:00:00::	right%5:00:00:satisfactory:00
drop_off%2:29:00::	drop%2:38:01::
plate%1:13:01::	plate%1:06:09::
sweep_up%2:42:00::	sweep%2:35:00::
touch%1:11:00::	touch%1:10:01::
run%2:38:00::;run%2:33:01::	run%2:35:04::
change%1:11:00::	change%1:21:01::
shot%1:04:00::	shot%1:26:00::
digital%3:00:00::;digital%3:01:01::	digital%3:01:00::
sweet%5:00:01:pleasing:00	sweet%3:00:02::;sweet%5:00:00:sugary:00
fallout%1:27:00::	fallout%1:19:00::
solution%1:27:00::	solution%1:09:00::
pick_up%2:38:01::	pick_up%2:40:00::
entranced%5:00:00:enchanted:00	entrance%1:04:00::;entrance%1:06:00::;entrance%1:11:00::
clog%1:06:01::	clogged%5:00:00:encumbered:00;clogged%5:00:00:obstructed:00;clog_up%2:35:00::
bundle%1:21:00::	bundle%1:06:00::
track%1:06:02::	track%1:09:00::
spend%2:40:01::	spent%5:00:00:tired:00
plug_away%2:41:00::	plug%2:30:03::
uproot%2:41:00::	uproot%2:35:00::
chemistry%1:09:00::	chemistry%1:24:00::
track%1:06:01::;track%1:06:02::	track%1:09:00::
work_out%2:42:00::	work_out%2:29:00::
tired%3:00:00::;tire%2:29:01::	tired_of%5:00:00:displeased:00;tire%2:29:00::
scramble%2:38:00::	scramble%2:35:02::
stuck%3:00:00::	stick%2:35:03::
bird%1:05:00::	bird%1:06:01::
glow%2:43:00::;glowing%1:19:00::;glow%2:39:00::	glowing%5:00:00:enthusiastic:00;glow%2:37:00::;glow%2:37:01::
booming%5:00:00:successful:00	boom%2:39:00::
plant%2:35:00::	plant%2:35:01::
ear%1:08:00::	ear%1:20:00::
shoot%1:20:00::	shoot%1:04:00::
drone_on%2:32:00::	drone%1:05:00::
garnish%2:40:00::	garnish%2:36:00::
express%5:00:00:explicit:00	express%5:00:00:fast:01
rare%5:00:00:raw:00	rare%5:00:00:infrequent:00
observant%5:00:00:attentive:00	observant%5:00:00:lawful:00
ground%2:31:00::	ground%2:35:02::
fire_up%2:37:00::	fire%1:11:00::;fire%2:30:03::;fire%1:06:00::;fire%1:22:00::
dry%3:00:01::	dry%5:00:00:unstimulating:00
blowup%1:11:00::	blowup%1:10:00::
issue%1:10:00::	issue%1:09:01::
cut%1:04:01::	cut%1:04:05::
dock%2:40:01::	dock%2:38:00::
haywire%5:00:00:insane:00	haywire%5:00:00:malfunctioning:00
spirit%1:07:00::	spirit%1:18:00::
complex%1:06:00::	complex%1:12:00::
split%2:35:00::	split%2:38:00::
space%1:25:00::;space%1:15:00::	space%1:15:01::
ball%1:06:02::	ball%1:08:01::
change%1:24:00::	change%1:21:01::
stroke%1:26:00::	stroke%1:04:04::
leaf%1:20:00::	leaf%2:39:10::
stacked%5:00:00:shapely:00	stack%2:35:00::
drive%2:41:02::	drive%2:38:01::
knock%2:35:01::	knock%2:32:02::
line%1:06:07::	line%1:06:00::
leap%1:04:00::	leap%1:11:00::
toast%1:13:00::	toast%1:18:01::
frank_sinatra%1:18:00::	frank%5:00:00:direct:02
spin%1:04:03::	spin%1:04:00::
operate%2:35:03::	operate%2:29:00::
conduct%2:41:01::	conduct%2:36:00::
jump%2:38:00::	jump%2:30:05::
cook%2:36:00::	cook%2:41:00::
exhaust%1:27:00::	exhaust%2:29:00::
sign%1:10:05::	sign%1:10:00::
trail%1:06:00::	trail%2:38:01::
beady%5:00:00:bright:00	beady%5:00:00:adorned:00
downhill%4:02:00::	downhill%4:02:01::
pull_together%2:35:00::	pull%2:35:04::
stand%2:35:00::	stand%2:31:00::
lousy%5:00:00:bad:00	lousy%5:00:00:dirty:01
stun%2:30:00::	stunning%5:00:00:beautiful:00
lock%2:30:00::	lock_up%2:35:01::
sign_off%2:32:00::	sign%2:32:04::
calf%1:05:00::	calf%1:08:00::
plant%2:35:00::	plant%2:35:01::
poach%2:30:00::	poacher%1:18:00::
reservation%1:15:00::	reservation%1:04:01::
stave%1:06:00::	stave_off%2:41:00::
calf%1:05:00::	calf%1:08:00::
throw%2:35:00::	throw%2:37:00::
kid%2:32:01::	kid%1:05:00::
point%1:10:01::	point%1:06:00::;point%1:25:00::
stalk%2:38:01::	stalk%1:20:00::
faculty%1:09:00::	faculty%1:14:00::
look_into%2:31:00::	look%2:39:00::
knockout%1:18:00::	knockout%1:04:00::
reflective%3:00:00::	reflective%5:00:00:thoughtful:00
tap%2:40:00::	tap%1:06:00::
drift%1:17:00::	drift%1:09:00::
strain%1:26:02::	strain%2:35:01::;strain%2:35:00::
sentence%1:10:00::	sentence%1:28:00::
picket%2:41:00::	picket%1:06:00::
turn_up%2:30:00::	turn_up%2:35:00::
absorb%2:31:06::	absorb%2:35:00::
pit%1:17:00::	the_pits%1:15:00::
connection%1:18:01::	connection%1:06:00::
render%2:30:00::	render%2:30:04::
make_up%2:41:00::	make_up%2:29:00::
state%1:15:01::	state%1:26:02::
circulation%1:10:00::	circulation%1:19:00::
stern%1:06:00::	stern%5:00:00:nonindulgent:00
dark%3:00:01::	dark%5:00:00:evil:00
buzz%1:11:00::	buzz%1:04:00::
project%2:32:00::	project%2:39:01::
cop_out%2:31:00::	cop%1:18:00::
fire%2:41:00::	fire%2:33:00::
develop%2:30:00::	develop%2:39:00::
illuminating%3:00:00::;illuminate%2:30:03::	illuminate%2:31:00::
counter%1:06:00::	counter%1:18:00::
strike%2:35:01::	strike%2:39:00::
net%1:21:00::	net%1:06:02::
legend%1:10:01::	legend%1:10:00::
